field_id,label_ko,group,places_total,present_count,present_pct,missing_count,overlay_present_count,overlay_present_pct,snapshot_sha256,design_version
name,장소명,basic,2126,2126,100.0,0,330,100.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
kto_content_type,KTO 장소 종류,basic,2126,2126,100.0,0,330,100.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
address,주소,basic,2126,2126,100.0,0,330,100.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
address_detail,추가 주소,basic,2126,421,19.8,1705,111,33.64,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
coordinates,정상 지도 좌표,basic,2126,2125,99.95,1,330,100.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
phone,전화번호,basic,2126,26,1.22,2100,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
image,대표 이미지,basic,2126,1910,89.84,216,321,97.27,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
short_description,한 줄 설명,basic,2126,0,0.0,2126,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
full_description,상세 설명,basic,2126,0,0.0,2126,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
parking_info,주차 정보,basic,2126,0,0.0,2126,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
business_hours,운영시간,basic,2126,0,0.0,2126,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
closed_days,휴무일,basic,2126,0,0.0,2126,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
instagram_url,인스타그램,basic,2126,0,0.0,2126,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
tags,태그,basic,2126,0,0.0,2126,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
zipcode,우편번호,basic,2126,2115,99.48,11,330,100.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
pet_acmpyTypeCd,동반 유형,pet,2126,330,15.52,1796,330,100.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
pet_acmpyNeedMtr,동반 시 필요 사항,pet,2126,51,2.4,2075,51,15.45,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
pet_acmpyPsblCpam,동반 가능 동물,pet,2126,53,2.49,2073,53,16.06,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
pet_etcAcmpyInfo,기타 동반 안내,pet,2126,50,2.35,2076,50,15.15,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
pet_relaAcdntRiskMtr,관련 사고 위험 사항,pet,2126,34,1.6,2092,34,10.3,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
pet_relaFrnshPrdlst,비치 품목,pet,2126,2,0.09,2124,2,0.61,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
pet_relaPosesFclty,보유 시설,pet,2126,2,0.09,2124,2,0.61,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
pet_relaPurcPrdlst,구매 가능 품목,pet,2126,2,0.09,2124,2,0.61,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
pet_relaRntlPrdlst,대여 가능 품목,pet,2126,1,0.05,2125,1,0.3,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
