rank,placeId,name,municipality,ui_region,ui_region_name,kto_content_type_id,kto_content_type_name,ui_category,pet_information_status,basic_score,pet_score,total_score,filled_useful_fields,total_useful_fields,fullness_pct,pet_details_summary,has_name,value_name,has_kto_content_type,value_kto_content_type,has_address,value_address,has_address_detail,value_address_detail,has_coordinates,value_coordinates,has_phone,value_phone,has_image,value_image,has_short_description,value_short_description,has_full_description,value_full_description,has_parking_info,value_parking_info,has_business_hours,value_business_hours,has_closed_days,value_closed_days,has_instagram_url,value_instagram_url,has_tags,value_tags,has_zipcode,value_zipcode,has_pet_acmpyTypeCd,value_pet_acmpyTypeCd,has_pet_acmpyNeedMtr,value_pet_acmpyNeedMtr,has_pet_acmpyPsblCpam,value_pet_acmpyPsblCpam,has_pet_etcAcmpyInfo,value_pet_etcAcmpyInfo,has_pet_relaAcdntRiskMtr,value_pet_relaAcdntRiskMtr,has_pet_relaFrnshPrdlst,value_pet_relaFrnshPrdlst,has_pet_relaPosesFclty,value_pet_relaPosesFclty,has_pet_relaPurcPrdlst,value_pet_relaPurcPrdlst,has_pet_relaRntlPrdlst,value_pet_relaRntlPrdlst,snapshot_sha256,design_version,data_note
1,kto-3401751,카페에벤에셀,JEJU_CITY,jeju_city,제주시,39,음식점,cafe,KTO_OVERLAY_FOUND,5,9,14,14,24,58.33,"동반 유형: 전구역 동반가능 | 동반 시 필요 사항: 매너벨트 착용 | 동반 가능 동물: 12kg 이하 동반 가능 | 기타 동반 안내: 3마리까지 가능 | 관련 사고 위험 사항: 12kg 이하 동반 가능 | 비치 품목: 배변판, 식기, 매너벨트 | 보유 시설: 안전문, 울타리 | 구매 가능 품목: 화식, 강아지 수제 간식, 매너벨트, 강아지 옷, 장난감 등 | 대여 가능 품목: 강아지 방석",1,카페에벤에셀,1,39:음식점,1,제주특별자치도 제주시 1100로 3198-20 (노형동),0,,1,"33.47294795011673,126.48581224833323",0,,0,,0,,0,,0,,0,,0,,0,,0,,1,63091,1,전구역 동반가능,1,매너벨트 착용,1,12kg 이하 동반 가능,1,3마리까지 가능,1,12kg 이하 동반 가능,1,"배변판, 식기, 매너벨트",1,"안전문, 울타리",1,"화식, 강아지 수제 간식, 매너벨트, 강아지 옷, 장난감 등",1,강아지 방석,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1,Stage3 Firestore snapshot; live read blocked by RESOURCE_EXHAUSTED
2,kto-3112168,아우아우,JEJU_CITY,east,동부 (조천),14,문화시설,spot,KTO_OVERLAY_FOUND,5,8,13,13,24,54.17,"동반 유형: 일부구역 동반가능 | 동반 시 필요 사항: 자유이용,매너벨트 착용 | 동반 가능 동물: 15kg 미만 까지만 가능 | 기타 동반 안내: 주문 공간에서는 반려견을 안고 주문해주시길 바랍니다. | 관련 사고 위험 사항: 15kg 미만 까지만 가능 | 비치 품목: 매너벨트, 식기 | 보유 시설: 안전문, 울타리, 반려견 전용 UV 살균기, 사진공간, 반려견 전용 실내 공간, 화산송이 운동장, 야외 오두막 | 구매 가능 품목: 간식, 장난감, 용품, 의류 등",1,아우아우,1,14:문화시설,1,제주특별자치도 제주시 조천읍 와산3길 13-105,0,,1,"33.48783967329499,126.69318766424067",0,,0,,0,,0,,0,,0,,0,,0,,0,,1,63342,1,일부구역 동반가능,1,"자유이용,매너벨트 착용",1,15kg 미만 까지만 가능,1,주문 공간에서는 반려견을 안고 주문해주시길 바랍니다.,1,15kg 미만 까지만 가능,1,"매너벨트, 식기",1,"안전문, 울타리, 반려견 전용 UV 살균기, 사진공간, 반려견 전용 실내 공간, 화산송이 운동장, 야외 오두막",1,"간식, 장난감, 용품, 의류 등",0,,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1,Stage3 Firestore snapshot; live read blocked by RESOURCE_EXHAUSTED
3,kto-125445,생각하는 정원,JEJU_CITY,west,서부 (한경),12,관광지,spot,KTO_OVERLAY_FOUND,7,5,12,12,24,50,"동반 유형: 전구역 동반가능 | 동반 시 필요 사항: 목줄 착용 | 동반 가능 동물: 전 견종 동반 가능 | 기타 동반 안내: - 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수 | 관련 사고 위험 사항: 전 견종 동반 가능",1,생각하는 정원,1,12:관광지,1,제주특별자치도 제주시 한경면 녹차분재로 675,1,(한경면),1,"33.3253707254,126.2551643784",0,,1,https://tong.visitkorea.or.kr/cms/resource/24/4090224_image2_1.jpg,0,,0,,0,,0,,0,,0,,0,,1,63005,1,전구역 동반가능,1,목줄 착용,1,전 견종 동반 가능,1,"- 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수",1,전 견종 동반 가능,0,,0,,0,,0,,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1,Stage3 Firestore snapshot; live read blocked by RESOURCE_EXHAUSTED
4,kto-2564158,광치기해변,SEOGWIPO_CITY,east,동부 (성산),12,관광지,spot,KTO_OVERLAY_FOUND,7,5,12,12,24,50,"동반 유형: 전구역 동반가능 | 동반 시 필요 사항: 목줄 착용 | 동반 가능 동물: 전 견종 동반 가능 | 기타 동반 안내: - 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수 | 관련 사고 위험 사항: 전 견종 동반 가능",1,광치기해변,1,12:관광지,1,제주특별자치도 서귀포시 성산읍 고성리,1,224-33,1,"33.45151,126.924636",0,,1,https://tong.visitkorea.or.kr/cms/resource/00/4098400_image2_1.JPG,0,,0,,0,,0,,0,,0,,0,,1,63640,1,전구역 동반가능,1,목줄 착용,1,전 견종 동반 가능,1,"- 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수",1,전 견종 동반 가능,0,,0,,0,,0,,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1,Stage3 Firestore snapshot; live read blocked by RESOURCE_EXHAUSTED
5,kto-3013283,송악산둘레길,SEOGWIPO_CITY,west,서부 (대정),12,관광지,spot,KTO_OVERLAY_FOUND,7,5,12,12,24,50,"동반 유형: 전구역 동반가능 | 동반 시 필요 사항: 목줄 착용 | 동반 가능 동물: 전 견종 동반 가능 | 기타 동반 안내: - 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수 | 관련 사고 위험 사항: 전 견종 동반 가능",1,송악산둘레길,1,12:관광지,1,제주특별자치도 서귀포시 대정읍 상모리,1,245,1,"33.204334,126.28931",0,,1,https://tong.visitkorea.or.kr/cms/resource/78/4064178_image2_1.jpg,0,,0,,0,,0,,0,,0,,0,,1,63508,1,전구역 동반가능,1,목줄 착용,1,전 견종 동반 가능,1,"- 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수",1,전 견종 동반 가능,0,,0,,0,,0,,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1,Stage3 Firestore snapshot; live read blocked by RESOURCE_EXHAUSTED
6,kto-126448,이호테우해변,JEJU_CITY,jeju_city,제주시,12,관광지,spot,KTO_OVERLAY_FOUND,6,5,11,11,24,45.83,"동반 유형: 일부구역 동반가능 | 동반 시 필요 사항: 목줄 착용 | 동반 가능 동물: 전 견종 동반 가능 | 기타 동반 안내: - 해수욕장 입수는 불가- 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수 | 관련 사고 위험 사항: 전 견종 동반 가능",1,이호테우해변,1,12:관광지,1,제주특별자치도 제주시 도리로,1,(이호일동),1,"33.4973871738,126.4531448539",0,,0,,0,,0,,0,,0,,0,,0,,0,,1,63111,1,일부구역 동반가능,1,목줄 착용,1,전 견종 동반 가능,1,"- 해수욕장 입수는 불가- 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수",1,전 견종 동반 가능,0,,0,,0,,0,,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1,Stage3 Firestore snapshot; live read blocked by RESOURCE_EXHAUSTED
7,kto-126455,한림공원,JEJU_CITY,west,서부 (한림),12,관광지,spot,KTO_OVERLAY_FOUND,6,5,11,11,24,45.83,"동반 유형: 전구역 동반가능 | 동반 시 필요 사항: 목줄 착용 | 동반 가능 동물: 7kg 이하 동반 가능 | 기타 동반 안내: - 식당이용시 이동장 이용 필수 - 배변봉투 지참 및 배변처리 필수 | 관련 사고 위험 사항: 훈련사 또는 직원 상시대기,응급키트 구비",1,한림공원,1,12:관광지,1,제주특별자치도 제주시 한림읍 한림로 300,0,,1,"33.3886659647,126.2415557152",0,,1,https://tong.visitkorea.or.kr/cms/resource/83/3553983_image2_1.jpg,0,,0,,0,,0,,0,,0,,0,,1,63011,1,전구역 동반가능,1,목줄 착용,1,7kg 이하 동반 가능,1,- 식당이용시 이동장 이용 필수 - 배변봉투 지참 및 배변처리 필수,1,"훈련사 또는 직원 상시대기,응급키트 구비",0,,0,,0,,0,,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1,Stage3 Firestore snapshot; live read blocked by RESOURCE_EXHAUSTED
8,kto-126464,여미지식물원,SEOGWIPO_CITY,seogwipo,서귀포시,12,관광지,spot,KTO_OVERLAY_FOUND,6,5,11,11,24,45.83,"동반 유형: 전구역 동반가능 | 동반 시 필요 사항: 목줄 착용 | 동반 가능 동물: 전 견종 동반 가능 | 기타 동반 안내: - 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수 | 관련 사고 위험 사항: 전 견종 동반 가능",1,여미지식물원,1,12:관광지,1,제주특별자치도 서귀포시 중문관광로 93 (색달동),0,,1,"33.2520502041,126.414570323",0,,1,https://tong.visitkorea.or.kr/cms/resource/81/3551581_image2_1.jpg,0,,0,,0,,0,,0,,0,,0,,1,63535,1,전구역 동반가능,1,목줄 착용,1,전 견종 동반 가능,1,"- 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수",1,전 견종 동반 가능,0,,0,,0,,0,,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1,Stage3 Firestore snapshot; live read blocked by RESOURCE_EXHAUSTED
9,kto-127492,중문관광단지,SEOGWIPO_CITY,seogwipo,서귀포시,12,관광지,spot,KTO_OVERLAY_FOUND,6,5,11,11,24,45.83,"동반 유형: 전구역 동반가능 | 동반 시 필요 사항: 목줄 착용 | 동반 가능 동물: 전 견종 동반 가능 | 기타 동반 안내: - 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수 | 관련 사고 위험 사항: 전 견종 동반 가능",1,중문관광단지,1,12:관광지,1,제주특별자치도 서귀포시 색달동,0,,1,"33.2487,126.4125",0,,1,https://tong.visitkorea.or.kr/cms/resource/97/3527897_image2_1.jpg,0,,0,,0,,0,,0,,0,,0,,1,63535,1,전구역 동반가능,1,목줄 착용,1,전 견종 동반 가능,1,"- 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수",1,전 견종 동반 가능,0,,0,,0,,0,,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1,Stage3 Firestore snapshot; live read blocked by RESOURCE_EXHAUSTED
10,kto-127857,일출랜드,SEOGWIPO_CITY,east,동부 (성산),12,관광지,spot,KTO_OVERLAY_FOUND,6,5,11,11,24,45.83,"동반 유형: 일부구역 동반가능 | 동반 시 필요 사항: 목줄 착용,반려동물 유모차 탑승,이동장(켄넬)사용 | 동반 가능 동물: 맹견 제외 예방 접종 완료한 전 견종 동반 가능 | 기타 동반 안내: 배변봉투 지참 및 배변처리 필수 | 관련 사고 위험 사항: 직원 상시대기",1,일출랜드,1,12:관광지,1,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,0,,1,"33.3811208022,126.8428064761",0,,1,https://tong.visitkorea.or.kr/cms/resource/11/3515611_image2_1.jpg,0,,0,,0,,0,,0,,0,,0,,1,63635,1,일부구역 동반가능,1,"목줄 착용,반려동물 유모차 탑승,이동장(켄넬)사용",1,맹견 제외 예방 접종 완료한 전 견종 동반 가능,1,배변봉투 지참 및 배변처리 필수,1,직원 상시대기,0,,0,,0,,0,,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1,Stage3 Firestore snapshot; live read blocked by RESOURCE_EXHAUSTED
