ui_region,ui_region_name,kto_content_type_id,kto_content_type_name,ui_category,place_count,pet_known_count,pet_known_pct,snapshot_sha256,design_version
jeju_city,제주시,38,쇼핑,spot,258,184,71.32,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
jeju_city,제주시,39,음식점,food,192,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
seogwipo,서귀포시,39,음식점,food,131,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
seogwipo,서귀포시,12,관광지,spot,119,10,8.4,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
jeju_city,제주시,12,관광지,spot,107,4,3.74,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
seogwipo,서귀포시,32,숙박,stay,82,2,2.44,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
jeju_city,제주시,39,음식점,cafe,54,1,1.85,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (애월),12,관광지,spot,52,2,3.85,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
east,동부 (구좌),12,관광지,spot,50,8,16.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
seogwipo,서귀포시,38,쇼핑,spot,50,34,68.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (애월),39,음식점,food,44,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
east,동부 (조천),12,관광지,spot,43,3,6.98,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
seogwipo,서귀포시,39,음식점,cafe,43,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (안덕),38,쇼핑,spot,42,37,88.1,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
jeju_city,제주시,32,숙박,stay,41,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
east,동부 (성산),12,관광지,spot,38,3,7.89,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (안덕),12,관광지,spot,37,3,8.11,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
seogwipo,서귀포시,28,레포츠,spot,36,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
jeju_city,제주시,14,문화시설,spot,32,1,3.13,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (한림),12,관광지,spot,31,2,6.45,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
east,동부 (표선),12,관광지,spot,28,4,14.29,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
east,동부 (성산),39,음식점,food,28,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (한경),12,관광지,spot,28,2,7.14,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (대정),12,관광지,spot,27,3,11.11,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
east,동부 (구좌),39,음식점,food,26,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
